S25	19	19-Bankura
S25	2	2-Jalpaiguri
S25	20	20-Burdwan
S25	21	21-Birbhum
S25	3	3-Darjeeling
S25	4	4-Uttar Dinajpur
S25	5	5-Dakshin Dinajpur
S25	6	6-Malda
S25	7	7-Murshidabad
S25	8	8-Nadia
S25	9	9-North 24-Parganas
S26	1	1-BIJAPUR
S26	10	10-DURG
S26	11	11-DHAMTARI
S26	12	12-BASTAR (JAGDALPUR)
S26	13	13-BILASPUR
S26	14	14-MAHASAMUND
S26	15	15-RAJNANDGAON
S26	16	16-RAIGARH
S26	17	17-RAIPUR
S26	18	18-SURGUJA
S26	19	19-BALAUDABAAZAAR
S26	2	2-NARAYANPUR
S26	20	20-BALOD
S26	21	21-BALRAMPUR
S26	22	22-BEMETARA
S26	23	23-GARIYABAND
S26	24	24-KONDAGAON
S26	25	25-MUNGELI
S26	26	26-SUKAMA
S26	27	27-SURAJPUR
S26	3	3-KABIRDHAM
S26	4	4-UTTAR BASTAR KANKER
S26	5	5-KORBA
S26	6	6-KORIA
S26	7	7-JASHPUR
S26	8	8-JANJGIR-CHAMPA
S26	9	9-DAKSHIN BASTAR DANTEWADA
S27	1	1-Sahebganj
S27	10	10-Chatra
S27	11	11-Giridih
S27	12	12-Bokaro
S27	13	13-Dhanbad
S27	14	14-East Singhbhum
S27	15	15-Saraikela- Kharswan
S27	16	16-West Singhbhum
S27	17	17-Ranchi
S27	18	18-Khunti
S27	19	19-Gumla
S27	2	2-Pakur
S27	20	20-Simdega
S27	21	21-Lohardaga
S27	22	22-Latehar
S27	23	23-Palamu
S27	24	24-Garhwa
S27	3	3-Dumka
S27	4	4-Jamtara
S27	5	5-Deoghar
S27	6	6-Godda
S27	7	7-Kodarma
S27	8	8-Hazaribagh
S27	9	9-Ramgarh
S28	1	1-Hardwar
S28	10	10-Rudraprayag
S28	11	11-Tehri Garhwal
S28	12	12-Pauri Garhwal
S28	13	13-Dehradun
S28	2	2-Nainital
S28	3	3-Almora
S28	4	4-Udhamsingh Nagar
S28	5	5-Pithoragarh
S28	6	6-Bageshwar
S28	7	7-Champawat
S28	8	8-Chamoli
S28	9	9-Uttarkashi
S29	1	1-Adilabad
S29	10	10-Khammam
S29	2	2-Nizamabad
S29	3	3-Karimnagar
S29	4	4-Medak
S29	5	5-Rangareddy
S29	6	6-Hyderabad
S29	7	7-Mahabubnagar
S29	8	8-Nalgonda
S29	9	9-Warangal
U01	1	1-North and Middle Andaman
U01	2	2-South Andaman
U01	3	3-Nicobar
U02	1	1-CHANDIGARH
U03	1	1-Dadra and Nagar Haveli.
U04	1	1-Daman
U04	2	2-Diu
U05	1	1-NORTH WEST
U05	2	2-NORTH EAST
U05	3	3-SOUTH
U05	4	4-CENTRAL
U05	5	5-SOUTH WEST
U05	6	6-EAST
U05	7	7-WEST
U05	8	8-NORTH
U05	9	9-NEW DELHI
U06	1	1-Lakshadweep
U07	1	1-Pondicherry
U07	2	2-Karaikal
